Sector,States/All India, 03-1994, 03-1995, 03-1996, 03-1997, 03-1998, 03-1999, 03-2000, 03-2001, 03-2002, 03-2003, 03-2004, 03-2005, 11-2005, 12-2005, 01-2006, 02-2006, 03-2006, 04-2006, 05-2006, 06-2006, 07-2006, 08-2006, 03-2007, 03-2008, 03-2009, 03-2010, 03-2011, 03-2012, 11-2012, 12-2012, 01-2013, 02-2013, 03-2013, 04-2013, 06-2013, 08-2013, 10-2013, 11-2013, 12-2013, 01-2014
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2363.00,2089.00,NA,NA,NA,NA,2166.00,NA,NA,NA,NA,NA,2011.00,1877.00,1977.00,1977.00,1796.00,1795.00,NA,NA,NA,NA,1802.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1470.00,1470.00,NA,NA,NA,NA,1470.00,NA,NA,NA,NA,NA,1470.00,1470.00,1636.00,1636.00,1800.00,1800.00,NA,NA,NA,NA,1786.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48129.00,48487.00,NA,NA,NA,NA,50274.00,NA,NA,NA,NA,NA,49268.00,48151.00,48047.00,48047.00,41349.00,41753.00,NA,NA,NA,NA,43055.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6142.00,6170.00,NA,NA,NA,NA,6170.00,NA,NA,NA,NA,NA,6170.00,6170.00,6170.00,6170.00,6170.00,6170.00,NA,NA,NA,NA,6170.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1098.00,1119.00,NA,NA,NA,NA,1119.00,NA,NA,NA,NA,NA,1110.00,1106.00,806.00,806.00,1091.00,1091.00,NA,NA,NA,NA,1082.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6696.00,6696.00,NA,NA,NA,NA,6696.00,NA,NA,NA,NA,NA,6696.00,2901.00,2901.00,2901.00,2387.00,2387.00,NA,NA,NA,NA,2387.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4877.00,4665.00,NA,NA,NA,NA,3534.00,NA,NA,NA,NA,NA,3671.00,3859.00,3543.00,3543.00,3395.00,3270.00,NA,NA,NA,NA,3107.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8355.00,8171.00,NA,NA,NA,NA,8166.00,NA,NA,NA,NA,NA,8080.00,8150.00,8144.00,8144.00,8240.00,8194.00,NA,NA,NA,NA,8305.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9461.00,9451.00,NA,NA,NA,NA,9139.00,NA,NA,NA,NA,NA,9188.00,8864.00,8889.00,8889.00,8936.00,8936.00,NA,NA,NA,NA,8936.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Co Operative,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,999.00,999.00,NA,NA,NA,NA,999.00,NA,NA,NA,NA,NA,999.00,999.00,1132.00,1132.00,1132.00,1132.00,NA,NA,NA,NA,1132.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643116.00,635858.00,NA,NA,NA,NA,642088.00,NA,NA,NA,NA,NA,651324.00,607030.00,624663.00,630391.00,672147.00,689754.00,NA,NA,NA,NA,698311.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29526.00,29971.00,NA,NA,NA,NA,30415.00,NA,NA,NA,NA,NA,30869.00,31212.00,34748.00,35481.00,45799.00,49885.00,NA,NA,NA,NA,51721.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,795.00,795.00,NA,NA,NA,NA,795.00,NA,NA,NA,NA,NA,795.00,795.00,795.00,795.00,795.00,795.00,NA,NA,NA,NA,795.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1529.00,1529.00,NA,NA,NA,NA,1529.00,NA,NA,NA,NA,NA,1029.00,1029.00,1029.00,1029.00,1029.00,1029.00,NA,NA,NA,NA,1029.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Chhattisgarth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1225.00,1225.00,NA,NA,NA,NA,1225.00,NA,NA,NA,NA,NA,1225.00,1225.00,1225.00,1225.00,1225.00,1225.00,NA,NA,NA,NA,1225.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Dadra Nagra Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2307.00,2307.00,NA,NA,NA,NA,2350.00,NA,NA,NA,NA,NA,2356.00,2463.00,4239.00,4233.00,5113.00,4784.00,NA,NA,NA,NA,4866.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Daman & Diu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.00,180.00,NA,NA,NA,NA,180.00,NA,NA,NA,NA,NA,180.00,180.00,180.00,180.00,180.00,180.00,NA,NA,NA,NA,180.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.00,72.00,NA,NA,NA,NA,72.00,NA,NA,NA,NA,NA,72.00,72.00,72.00,72.00,72.00,72.00,NA,NA,NA,NA,72.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77261.00,75782.00,NA,NA,NA,NA,71879.00,NA,NA,NA,NA,NA,72192.00,55714.00,55626.00,55635.00,81042.00,80418.00,NA,NA,NA,NA,78666.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18152.00,17915.00,NA,NA,NA,NA,17757.00,NA,NA,NA,NA,NA,13226.00,13721.00,13366.00,13366.00,12888.00,12446.00,NA,NA,NA,NA,12534.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13628.00,13292.00,NA,NA,NA,NA,13527.00,NA,NA,NA,NA,NA,13923.00,13698.00,14125.00,14049.00,13829.00,12951.00,NA,NA,NA,NA,18704.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3776.00,3861.00,NA,NA,NA,NA,5798.00,NA,NA,NA,NA,NA,5142.00,6607.00,6607.00,6607.00,6140.00,6140.00,NA,NA,NA,NA,5916.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Jharkhand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707.00,707.00,NA,NA,NA,NA,707.00,NA,NA,NA,NA,NA,707.00,707.00,707.00,707.00,707.00,707.00,NA,NA,NA,NA,707.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21017.00,21020.00,NA,NA,NA,NA,21249.00,NA,NA,NA,NA,NA,20478.00,20543.00,20731.00,20731.00,19964.00,14534.00,NA,NA,NA,NA,14072.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7578.00,8015.00,NA,NA,NA,NA,7156.00,NA,NA,NA,NA,NA,7164.00,5918.00,5879.00,6072.00,6755.00,6640.00,NA,NA,NA,NA,6584.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43998.00,43664.00,NA,NA,NA,NA,43570.00,NA,NA,NA,NA,NA,43640.00,44975.00,46847.00,47984.00,50414.00,53412.00,NA,NA,NA,NA,55146.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86029.00,84266.00,NA,NA,NA,NA,83450.00,NA,NA,NA,NA,NA,81674.00,46333.00,48861.00,47857.00,46878.00,46750.00,NA,NA,NA,NA,45845.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00,0.00,0.00,0.00,0.00,0.00,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2355.00,2355.00,NA,NA,NA,NA,2355.00,NA,NA,NA,NA,NA,2355.00,2355.00,2355.00,2355.00,2355.00,2355.00,NA,NA,NA,NA,2690.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1378.00,1380.00,NA,NA,NA,NA,1297.00,NA,NA,NA,NA,NA,1197.00,1122.00,1204.00,1204.00,975.00,951.00,NA,NA,NA,NA,913.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44483.00,44892.00,NA,NA,NA,NA,47294.00,NA,NA,NA,NA,NA,49625.00,49283.00,51198.00,52443.00,55787.00,59667.00,NA,NA,NA,NA,62244.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48891.00,48679.00,NA,NA,NA,NA,50229.00,NA,NA,NA,NA,NA,53401.00,56735.00,57364.00,61439.00,55667.00,67179.00,NA,NA,NA,NA,66435.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181189.00,179473.00,NA,NA,NA,NA,185612.00,NA,NA,NA,NA,NA,197449.00,199786.00,205138.00,204801.00,209846.00,213723.00,NA,NA,NA,NA,213710.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27271.00,24866.00,NA,NA,NA,NA,24809.00,NA,NA,NA,NA,NA,23312.00,23128.00,22857.00,22691.00,22751.00,22177.00,NA,NA,NA,NA,22285.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,Uttaranchal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,965.00,965.00,NA,NA,NA,NA,1079.00,NA,NA,NA,NA,NA,1276.00,1378.00,1919.00,1919.00,3072.00,3082.00,NA,NA,NA,NA,3422.00,NA,NA,NA,NA,NA,NA,NA
Fibre Textile Mills - Non Small Scale Industry - Private,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28804.00,28647.00,NA,NA,NA,NA,27754.00,NA,NA,NA,NA,NA,28037.00,28051.00,27591.00,27516.00,28864.00,28652.00,NA,NA,NA,NA,28550.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4592144.00,4757388.00,NA,NA,NA,NA,4859730.00,NA,NA,NA,NA,NA,4975770.00,5265925.00,5511835.00,5616185.00,5729158.00,5745942.00,NA,NA,NA,NA,5869547.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Andhra Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110035.00,110435.00,NA,NA,NA,NA,110953.00,NA,NA,NA,NA,NA,111648.00,112405.00,112780.00,113064.00,113504.00,113505.00,NA,NA,NA,NA,113580.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Assam,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6815.00,6815.00,NA,NA,NA,NA,6815.00,NA,NA,NA,NA,NA,6815.00,6815.00,6815.00,6815.00,6815.00,6815.00,NA,NA,NA,NA,6845.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Bihar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7235.00,7235.00,NA,NA,NA,NA,7235.00,NA,NA,NA,NA,NA,7235.00,7235.00,7235.00,7235.00,7234.00,7235.00,NA,NA,NA,NA,7235.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Chhattisgarth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.00,105.00,NA,NA,NA,NA,105.00,NA,NA,NA,NA,NA,105.00,105.00,105.00,105.00,105.00,105.00,NA,NA,NA,NA,105.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Dadra Nagra Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2325.00,2405.00,NA,NA,NA,NA,2405.00,NA,NA,NA,NA,NA,2405.00,2405.00,2405.00,2405.00,2405.00,2405.00,NA,NA,NA,NA,2405.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Delhi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2755.00,2755.00,NA,NA,NA,NA,2755.00,NA,NA,NA,NA,NA,2755.00,2755.00,2755.00,2755.00,2754.00,2755.00,NA,NA,NA,NA,2755.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Goa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305.00,305.00,NA,NA,NA,NA,305.00,NA,NA,NA,NA,NA,305.00,305.00,305.00,305.00,305.00,305.00,NA,NA,NA,NA,305.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Gujarat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,801010.00,805923.00,NA,NA,NA,NA,806808.00,NA,NA,NA,NA,NA,807528.00,807882.00,808348.00,808459.00,808460.00,808460.00,NA,NA,NA,NA,808460.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Haryana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24705.00,24753.00,NA,NA,NA,NA,24788.00,NA,NA,NA,NA,NA,24803.00,24833.00,24832.00,24833.00,24832.00,24832.00,NA,NA,NA,NA,30733.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653.00,3653.00,NA,NA,NA,NA,3653.00,NA,NA,NA,NA,NA,3653.00,3653.00,3653.00,3653.00,3653.00,3653.00,NA,NA,NA,NA,3653.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.00,163.00,NA,NA,NA,NA,163.00,NA,NA,NA,NA,NA,163.00,163.00,163.00,163.00,163.00,163.00,NA,NA,NA,NA,163.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204673.00,204673.00,NA,NA,NA,NA,204673.00,NA,NA,NA,NA,NA,204705.00,204724.00,204725.00,204724.00,204725.00,204724.00,NA,NA,NA,NA,204725.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6828.00,6828.00,NA,NA,NA,NA,6970.00,NA,NA,NA,NA,NA,6980.00,6980.00,7000.00,7010.00,7010.00,7010.00,NA,NA,NA,NA,7010.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Madhya Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166915.00,189335.00,NA,NA,NA,NA,216853.00,NA,NA,NA,NA,NA,235360.00,261842.00,262058.00,273335.00,290213.00,295543.00,NA,NA,NA,NA,312133.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Maharashtra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2092913.00,2150738.00,NA,NA,NA,NA,2202155.00,NA,NA,NA,NA,NA,2286376.00,2535679.00,2766185.00,2847235.00,2933135.00,2942735.00,NA,NA,NA,NA,3019903.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Orissa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8298.00,8303.00,NA,NA,NA,NA,8303.00,NA,NA,NA,NA,NA,8303.00,8303.00,8302.00,8303.00,8303.00,8302.00,NA,NA,NA,NA,8303.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2075.00,2075.00,NA,NA,NA,NA,2075.00,NA,NA,NA,NA,NA,2075.00,2075.00,2075.00,2075.00,2075.00,2075.00,NA,NA,NA,NA,2675.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Punjab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59015.00,59050.00,NA,NA,NA,NA,59050.00,NA,NA,NA,NA,NA,59050.00,59050.00,59050.00,59050.00,59050.00,59050.00,NA,NA,NA,NA,59050.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Rajasthan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80623.00,80773.00,NA,NA,NA,NA,83105.00,NA,NA,NA,NA,NA,83215.00,83660.00,85398.00,85522.00,85678.00,85678.00,NA,NA,NA,NA,85678.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Tamil Nadu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,835930.00,914493.00,NA,NA,NA,NA,933803.00,NA,NA,NA,NA,NA,944938.00,956120.00,968445.00,979398.00,988843.00,990698.00,NA,NA,NA,NA,1013360.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,Uttar Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164835.00,164910.00,NA,NA,NA,NA,164930.00,NA,NA,NA,NA,NA,164975.00,164983.00,164983.00,164983.00,164983.00,164981.00,NA,NA,NA,NA,164983.00,NA,NA,NA,NA,NA,NA,NA
Powerloom Sector,West Bengal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10933.00,11663.00,NA,NA,NA,NA,11828.00,NA,NA,NA,NA,NA,12378.00,13953.00,14218.00,14758.00,14913.00,14913.00,NA,NA,NA,NA,15488.00,NA,NA,NA,NA,NA,NA,NA
Khadi Sector,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,861.00,864.00,NA,NA,NA,NA,868.00,NA,NA,NA,NA,NA,884.00,916.00,950.00,981.00,1015.00,1045.00,NA,NA,NA,NA,1071.00,NA,NA,NA,NA,NA,NA,NA
Khadi Sector - Cotton,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645.00,647.00,NA,NA,NA,NA,653.00,NA,NA,NA,NA,NA,658.00,609.00,629.00,656.00,674.00,693.00,NA,NA,NA,NA,713.00,NA,NA,NA,NA,NA,NA,NA
Khadi Sector - Woolen,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134.00,135.00,NA,NA,NA,NA,134.00,NA,NA,NA,NA,NA,138.00,212.00,223.00,220.00,229.00,236.00,NA,NA,NA,NA,241.00,NA,NA,NA,NA,NA,NA,NA
Khadi Sector - Silk,All India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.00,82.00,NA,NA,NA,NA,81.00,NA,NA,NA,NA,NA,88.00,95.00,98.00,105.00,112.00,116.00,NA,NA,NA,NA,117.00,NA,NA,NA,NA,NA,NA,NA
Khadi Sector - Muslin,All India,33.00,29.00,29.00,29.00,27.00,27.00,21.00,20.00,24.00,19.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
